geneSymbol	geneLength
A1BG	3999
A1BG-AS1	3374
A1CF	9603
A2M	6384
A2M-AS1	2948
A2ML1	7156
A2ML1-AS1	452
A2ML1-AS2	386
A3GALT2	1023
A4GALT	3358
A4GNT	1779
AAAS	4727
AACS	16039
AADAC	1632
AADACL2	5071
AADACL2-AS1	635
AADACL3	4055
AADACL4	1575
AADAT	2970
AAGAB	4138
AAK1	24843
AAMDC	1943
AAMP	3140
AANAT	2190
AAR2	3101
AARD	2404
AARS	4498
AARS2	5242
AARSD1	3704
AASDH	4654
AASDHPPT	6003
AASS	6664
AATBC	4874
AATF	4635
AATK	13177
ABALON	1903
ABAT	9713
ABCA1	11264
ABCA10	8405
ABCA12	9614
ABCA13	19075
ABCA2	11507
ABCA3	7804
ABCA4	8547
ABCA5	13158
ABCA6	14158
ABCA7	8367
ABCA8	11246
ABCA9	9024
ABCA9-AS1	2990
ABCB1	5806
ABCB10	4268
ABCB11	7715
ABCB4	7727
ABCB5	9257
ABCB6	5205
ABCB7	5364
ABCB8	9336
ABCB9	13291
ABCC1	7575
ABCC10	8087
ABCC11	7245
ABCC12	8699
ABCC2	7837
ABCC3	9615
ABCC4	8629
ABCC5	11365
ABCC5-AS1	469
ABCC6	7569
ABCC8	12588
ABCC9	11616
ABCD1	4238
ABCD2	6290
ABCD3	7655
ABCD4	8922
ABCE1	6254
ABCF1	4496
ABCF2	5158
ABCF3	5207
ABCG1	6121
ABCG2	5602
ABCG4	6231
ABCG5	3720
ABCG8	10179
ABHD1	4630
ABHD10	3026
ABHD11	2289
ABHD12	4479
ABHD12B	4551
ABHD13	5313
ABHD14A	2378
ABHD14B	3161
ABHD15	3492
ABHD15-AS1	187
ABHD16A	4059
ABHD16B	1491
ABHD17A	6139
ABHD17B	2959
ABHD17C	3620
ABHD18	6707
ABHD2	10068
ABHD3	4337
ABHD4	4070
ABHD5	7539
ABHD6	3563
ABHD8	2162
ABI1	4218
ABI2	23316
ABI3	2272
ABI3BP	10978
ABITRAM	2525
ABL1	7018
ABL2	16689
ABLIM1	10231
ABLIM2	6049
ABLIM3	7225
ABO	6477
ABR	12426
ABRA	2754
ABRACL	1137
ABRAXAS1	7699
ABRAXAS2	2955
ABT1	2943
ABTB1	6155
ABTB2	4976
AC000032.1	491
AC000035.1	343
AC000036.1	2030
AC000050.1	239
AC000058.1	536
AC000061.1	376
AC000065.1	4003
AC000065.2	1625
AC000067.1	287
AC000068.1	2097
AC000068.2	460
AC000068.3	427
AC000072.1	964
AC000082.1	525
AC000085.1	866
AC000099.1	1918
AC000113.1	601
AC000120.1	1589
AC000123.1	516
AC000124.1	957
AC000372.1	646
AC000403.1	3585
AC001226.1	539
AC002044.1	158
AC002056.2	284
AC002057.1	1847
AC002057.2	1334
AC002059.1	477
AC002064.1	733
AC002064.2	289
AC002066.1	1420
AC002069.2	4119
AC002070.1	1469
AC002072.1	1108
AC002074.1	1095
AC002074.2	680
AC002076.1	527
AC002091.1	557
AC002091.2	402
AC002094.2	1121
AC002094.4	307
AC002101.1	1990
AC002115.1	568
AC002116.2	643
AC002128.1	1016
AC002128.2	618
AC002306.1	937
AC002310.1	1832
AC002310.2	2129
AC002331.1	1859
AC002347.1	541
AC002347.2	171
AC002351.1	2489
AC002368.1	388
AC002375.1	581
AC002377.1	1052
AC002378.1	2210
AC002383.1	2007
AC002386.1	398
AC002398.1	427
AC002398.2	660
AC002401.1	468
AC002401.2	430
AC002401.3	440
AC002401.4	583
AC002407.1	3863
AC002428.1	771
AC002428.2	414
AC002429.2	4031
AC002451.1	6742
AC002454.1	667
AC002456.1	4442
AC002458.1	2091
AC002460.1	516
AC002460.2	4010
AC002463.1	5132
AC002464.1	1530
AC002465.1	349
AC002465.2	544
AC002467.1	3955
AC002470.1	395
AC002472.1	714
AC002480.1	2432
AC002480.2	2141
AC002511.1	1000
AC002511.2	450
AC002519.1	2792
AC002529.1	912
AC002542.6	1087
AC002546.1	584
AC002550.1	1379
AC002550.2	394
AC002551.1	592
AC002553.1	802
AC002553.2	331
AC002558.2	673
AC002558.3	1873
AC002563.1	451
AC003001.1	1480
AC003005.2	664
AC003009.1	686
AC003035.1	544
AC003035.2	696
AC003043.1	337
AC003043.2	4061
